name,Address,sale_price_range,en_bloc_prob
Beaverton Court,"45 Mount Sinai Rise, singapore 276958","S$ 17,000,000
  -
  S$ 17,000,000",>80%
Bedok Gardens,"41 Jalan Limau Nipis, singapore 468294","S$ 5,200,000
  -
  S$ 5,200,000",null
Bedok Residences,"14 Bedok North Drive, singapore 465493","S$ 900,000
  -
  S$ 3,680,000",<20%
Bella Casita,"7 Ipoh Lane, singapore 438610","S$ 790,000
  -
  S$ 1,550,000",20%-39%
Belle Vue Residences,"15 Oxley Walk, singapore 238590","S$ 4,140,000
  -
  S$ 7,800,000",<20%
Bellerive,"9 Keng Chin Road, singapore 258711",null,20%-39%
Belmondo View,"20 Pegu Road, singapore 328369",null,40%-59%
Bideford Hills,"30 Bideford Road, singapore 229922",null,null
Bijou,"2 Jalan Mat Jambol, singapore 119554","S$ 1,120,000
  -
  S$ 2,661,000",null
Birchwood Mansions,"3 Jalan Ampas, singapore 329504","S$ 1,600,000
  -
  S$ 1,750,000",>80%
Bishan Loft,"31 Bishan Street 11, singapore 579819","S$ 1,888,000
  -
  S$ 1,888,000",<20%
Bliss Loft,"25 Kim Keat Close, singapore 328933","S$ 1,100,000
  -
  S$ 1,100,000",<20%
Bliss Ville,"69H Lorong Melayu, singapore 416963","S$ 1,150,000
  -
  S$ 1,580,000",20%-39%
Blissful View,"5A Holland Hill, singapore 278730",null,>80%
Blossom Mansions,"5 Lorong 37 Geylang, singapore 387903",null,60%-79%
Blossom View,"31 Lorong 26 Geylang, singapore 398498",null,60%-79%
Blossoms @ Woodleigh,"10 Woodleigh Close, singapore 357905","S$ 3,600,000
  -
  S$ 3,600,000",<20%
Blu Coral Condo,"127 Lorong L Telok Kurau, singapore 425562","S$ 2,200,000
  -
  S$ 2,600,000",null
Bo Bo Tan Gardens,"33 Chay Yan St, singapore 169902",null,null
Boathouse Residences,"33 Upper Serangoon View, singapore 534042","S$ 710,000
  -
  S$ 1,850,000",<20%
Boon Lay View,"218A Jurong West Avenue 2, singapore 641218",null,null
Botanique at Bartley,"239 Upper Paya Lebar Road, singapore 533866","S$ 799,999
  -
  S$ 1,938,000",null
Boulevard 88,"86 Orchard Boulevard, singapore 248655",null,null
Boulevard Vue,"11 Cuscaden Walk, singapore 249697","S$ 17,990,000
  -
  S$ 23,000,000",<20%
Bournemouth Eight,"70 Bournemouth Road, singapore 439710","S$ 7,500,000
  -
  S$ 8,700,000",null
Bowmont centre,"20 Siglap Drive, singapore 456192",null,20%-39%
Braddel Regalia,"30 Braddell Road, singapore 359946",null,null
Braddell Park,"58 Jalan Lateh, singapore 359136",null,null
Breezy Mansions,"15 Sandilands Road, singapore 546079",null,40%-59%
