name,Address,sale_price_range,en_bloc_prob
Liang Seah Place,"5 Sarkies Road, singapore 258125","S$ 1,650,000
  -
  S$ 2,950,000",null
Liberte,"550 Yishun Ave 6, singapore 768961","S$ 999,000
  -
  S$ 1,200,000",<20%
Lilydale,"22 Jalan Limau Bali, singapore 468493",null,20%-39%
Limau Park,"1 Khiang Guan Avenue, singapore 308380","S$ 1,150,000
  -
  S$ 9,085,499",60%-79%
Lincoln Suites,"2 Essex Road, singapore 309330",null,<20%
Lion Towers,"114A Arthur Road, singapore 439826","S$ 1,200,000
  -
  S$ 2,800,000",>80%
Liv @ MB,"71 Pasir Ris Grove, singapore 518205","S$ 913,000
  -
  S$ 2,650,000",null
Livia,"40 Lloyd Road, singapore 239107",null,<20%
Lloyd Court,"3 Lloyd Road, singapore 239092",null,>80%
Lloyd Mansion,"65 Lloyd Road, singapore 239114","S$ 2,300,000
  -
  S$ 13,582,000",null
Lloyd SixtyFive,"31 Nathan Road, singapore 248749","S$ 769,999
  -
  S$ 2,000,000",<20%
Loft @ Nathan,"113 Rangoon Road, singapore 218392","S$ 698,000
  -
  S$ 750,000",<20%
Loft @ Rangoon,"68 Stevens Road, singapore 257856","S$ 900,000
  -
  S$ 1,700,000",<20%
Loft @ Stevens,"33 Geylang Lorong 32, singapore 398293","S$ 1,200,000
  -
  S$ 1,200,000",<20%
Loft 33 @ Geylang,"151 Holland Road, singapore 278580","S$ 898,000
  -
  S$ 1,020,000",null
Loft@Holland,"31 Jervois Road, singapore 249080",null,<20%
Lotus At Jervois,"231 Pasir Panjang Road, singapore 117629",null,null
Lotus At Pasir Panjang,"11 Paya Lebar Road, singapore 409050",null,null
Lotus at Paya Lebar,"47- 47B Jalan Loyang Besar, singapore 509372",null,null
Loyang Gardens,"207 Jalan Loyang Besar, singapore 509468",null,>80%
Loyang Townhouses,"57 Grange Road, singapore 249569",null,>80%
Lucky Tower,"6 River Valley Grove, singapore 238403","S$ 1,450,000
  -
  S$ 2,000,000",null
Luma,"21 Holland Hill, singapore 278737","S$ 5,000,000
  -
  S$ 5,000,000",<20%
Lush on Holland Hill,"21 Lorong How Sun, singapore 536508",null,<20%
Lushan Garden,"336 Pasir Panjang Road, singapore 118668","S$ 2,000,000
  -
  S$ 2,000,000",null
Luxe Ville,"23 Newton Road, singapore 307955","S$ 1,350,000
  -
  S$ 2,380,000",<20%
M Suites,"65 Lorong Melayu, singapore 416952","S$ 1,700,000
  -
  S$ 2,229,000",null
M66,"64 Moonstone Lane, singapore 328489","S$ 699,999
  -
  S$ 1,500,000",<20%
Mabelle,"15 Lorong M Telok Kurau, singapore 425303",null,20%-39%
Macpherson Green,"568 570 Macpherson Road, singapore 368236",null,null
Madison Residences,"355 Bukit Timah Road, singapore 259724",null,<20%
Maison Royale,"1 SURREY ROAD, singapore 307740",null,null
Mandalay Towers,"35 Mandalay Road, singapore 308215","S$ 3,380,000
  -
  S$ 4,880,000",null
Margate Mansions,"12 Margate Road, singapore 438053",null,null
Marina Collection,"13 Cove Drive, singapore 098327","S$ 3,860,000
  -
  S$ 12,600,000",<20%
Marina One Residences,"21 Marina Way, singapore 018978",null,null
Marine Blue,"95 Marine Parade Road, singapore 449271","S$ 1,480,000
  -
  S$ 1,900,000",<20%
Marine View Mansion,"97 Marine Parade Road, singapore 449273",null,null
Martin Place Residences,"2 Martin Place, singapore 237988","S$ 1,390,000
  -
  S$ 5,400,000",<20%
Martina Mansions,"315 Bukit Timah Road, singapore 259710",null,40%-59%
Marymount View,"11 Pemimpin Drive, singapore 576148","S$ 1,490,000
  -
  S$ 1,490,000",>80%
Marymount View,"11 Pemimpin Drive, singapore 576148","S$ 1,490,000
  -
  S$ 1,490,000",>80%
Maya,"9 Still Road, singapore 423953","S$ 1,800,000
  -
  S$ 1,800,000",20%-39%
Mayfair Gardens,"8 Rifle Range Road, singapore 588376","S$ 950,000
  -
  S$ 3,600,000",60%-79%
Mayfair Modern,"2 Rifle Range Road, singapore 588373","S$ 900,000
  -
  S$ 2,900,000",null
MDIS Residences@Stirling,"503 Stirling Road, singapore 148959",null,null
Meadow Lodge,"31 Chun Tin Road, singapore 599717","S$ 1,680,000
  -
  S$ 1,680,000",null
Meadows @ Peirce,"626 Upper Thomson Road, singapore 787130","S$ 2,280,000
  -
  S$ 3,388,000",<20%
Mega Woodlands,"5 Woodlands Avenue, singapore 739997",null,null
Melosa,"28 Lorong 28 Geylang, singapore 398432","S$ 630,000
  -
  S$ 750,000",<20%
Mendon Spring,"198 Pasir Panjang Road, singapore 117526","S$ 1,330,000
  -
  S$ 1,330,000",40%-59%
Mera Springs,"81 Carlisle Road, singapore 219647","S$ 1,680,000
  -
  S$ 3,200,000",20%-39%
Meralodge,"83 Hillview Avenue, singapore 669583",null,60%-79%
Metro Loft,"5 Lorong 27 Geylang, singapore 388158","S$ 678,000
  -
  S$ 839,999",<20%
Meya Lodge,"23 Meyappa Chettiar Road, singapore 358463",null,40%-59%
Meyer Mansion,"79 Meyer Road, singapore 437906","S$ 800,000
  -
  S$ 5,545,000",null
Meyer Melodia,"2A Meyer Place, singapore 437990","S$ 1,265,000
  -
  S$ 2,771,500",null
Meyer Park,"81 Meyer Road, singapore 437908",null,>80%
Meyer Tower,"57 Meyer Road, singapore 437878",null,null
MeyerHouse,"128 Meyer Road, singapore 437938","S$ 4,500,000
  -
  S$ 14,861,700",null
Mi Casa,"0 Choa Chu Kang Avenue 3, singapore 680311","S$ 1,050,000
  -
  S$ 1,388,000",<20%
Mia Place,"116 Arthur Road, singapore 439830",null,null
Midtown Bay,"120 Beach Road, singapore 000000","S$ 1,199,899
  -
  S$ 4,717,000",null
Midtown Modern,"18 Tan Quee Lan Street, singapore 188105","S$ 998,999
  -
  S$ 14,260,000",null
Midtown Residences,"1189 Upper Serangoon Road, singapore 534785","S$ 688,000
  -
  S$ 1,150,000",<20%
Midwood,"8 Hillview Rise, singapore 667971","S$ 700,000
  -
  S$ 2,165,000",null
Mill Creek,"10 Lorong Marzuki, singapore 417052","S$ 2,480,000
  -
  S$ 2,480,000",20%-39%
Millage,"55 Changi Road, singapore 419709","S$ 699,000
  -
  S$ 1,200,000",<20%
Miltonia Residences,"520 Miltonia Close, singapore 768104","S$ 690,000
  -
  S$ 2,080,000",null
Mimosa Park,"15 Mimosa Road, singapore 807979","S$ 2,038,000
  -
  S$ 2,038,000",>80%
Minbu Court,"54 Minbu Road, singapore 308184",null,>80%
Minton Rise Condominium,"146 Hougang Street 11, singapore 530146",null,null
Mirage Tower,"80 Kim Seng Road, singapore 239426","S$ 2,980,000
  -
  S$ 4,200,000",40%-59%
Miro,"1 Lincoln Road, singapore 308365","S$ 2,150,000
  -
  S$ 6,500,000",<20%
Mon Jervois,", singapore 000000","S$ 1,250,000
  -
  S$ 3,800,000",<20%
Mont Botanik Residence,"1 Jalan Remaja, singapore 668662","S$ 1,000,000
  -
  S$ 1,733,800",null
Montebleu,"8 Minbu Road, singapore 308162","S$ 1,200,000
  -
  S$ 1,200,000",<20%
Montrosa,"132 Hillview Avenue, singapore 669597","S$ 980,000
  -
  S$ 1,450,000",40%-59%
Mooi Residences,"139 Holland Road, singapore 278573","S$ 1,400,000
  -
  S$ 3,483,888",null
Moonstone View,"31 Moonstone Lane, singapore 328496",null,40%-59%
Mori,"223 Guillemard Road, singapore 399738",null,null
Morimasa Garden,"11 Gilstead Road, singapore 309065",null,null
Mount Rosie Garden,"50 Goldhill Avenue, singapore 309031",null,>80%
Mount Sophia Suites,"95 Sophia Road, singapore 228163","S$ 900,000
  -
  S$ 1,050,000",20%-39%
Mountbatten Suites,"861 Mountbatten Road, singapore 437842","S$ 799,999
  -
  S$ 1,988,888",<20%
My Manhattan,"25 Simei Street 3, singapore 529899","S$ 718,888
  -
  S$ 1,880,000",<20%
Myra,"9 Meyappa Chettiar Road, singapore 358456","S$ 820,000
  -
  S$ 3,051,800",null
Nassim Jade,"3 Nassim Road, singapore 258371","S$ 8,000,000
  -
  S$ 22,700,000",60%-79%
Nassim Park,"15A Nassim Road , singapore 258387",null,null
Nassim Park Residences,"15 Nassim Road, singapore 258386","S$ 24,800,000
  -
  S$ 24,800,000",<20%
Nassim Woods,"19 Nassim Hill, singapore 258482",null,60%-79%
Nathan Residences,"23 Nathan Road, singapore 248744","S$ 1,180,000
  -
  S$ 1,899,999",<20%
Nathan Suites,"21 Nathan Road, singapore 248743","S$ 2,000,000
  -
  S$ 10,778,880",<20%
Natura @ Hillview,"18 Hillview Terrace, singapore 669229","S$ 650,000
  -
  S$ 1,250,000",null
Ness,"38 Lorong 32 Geylang, singapore 398298","S$ 650,000
  -
  S$ 1,200,000",<20%
Neu at Novena,"27 Moulmein Rise, singapore 308140","S$ 1,400,000
  -
  S$ 3,411,000",null
New Futura,"14 Leonie Hill Road, singapore 239193","S$ 6,000,000
  -
  S$ 8,100,000",null
Newton Edge,"1 Makeway Ave, singapore 228598","S$ 950,000
  -
  S$ 2,200,000",<20%
Newton Gems,"50 Newton Road, singapore 307991",null,null
Newton Meadows,"23 Newton Road, singapore 307955",null,null
Newton Point,"11 Newton Road, singapore 307948",null,null
Nim Gardens,"71 Nim Road, singapore 807583","S$ 1,950,000
  -
  S$ 1,950,000",60%-79%
Nin Residence,"83 Pheng Geck Avenue, singapore 348270","S$ 750,000
  -
  S$ 1,999,999",<20%
Niven Suites,"8 Wilkie Terrace, singapore 228031",null,null
NoMa,"56 Lorong 28 Geylang, singapore 398456","S$ 1,000,000
  -
  S$ 1,990,800",null
Norfolk Court,"103 Mergui Road, singapore 219068",null,null
North Park Residences,"15 Yishun Central 1, singapore 768797","S$ 695,000
  -
  S$ 2,280,000",null
Nouvel 18,"18 Anderson Road, singapore 259977","S$ 3,488,990
  -
  S$ 35,888,888",null
Nouvelle Park,"131 Poh Huat Road West, singapore 546684","S$ 2,000,000
  -
  S$ 2,260,000",60%-79%
Novelis @ Novena,"75 Sinaran Drive, singapore 308322","S$ 980,000
  -
  S$ 1,600,000",null
Novena Lodge,"2 Jalan Merlimau, singapore 308729","S$ 1,846,650
  -
  S$ 1,846,650",60%-79%
Nuovo,"21 Ang Mo Kio Avenue 9, singapore 569786","S$ 1,488,000
  -
  S$ 2,168,888",20%-39%
NV Residences,"91 Pasir Ris Grov, singapore 518190","S$ 845,000
  -
  S$ 2,400,000",<20%
Nyon,"12 Amber Road, singapore 439858","S$ 1,153,000
  -
  S$ 3,630,180",null
Oasis @ Elias,"60 - 72 Elias Road, singapore 510623","S$ 848,000
  -
  S$ 1,500,000",<20%
Oasis Garden,"52 Jalan Bunga Rampai, singapore 538416","S$ 3,200,000
  -
  S$ 3,200,000",20%-39%
Ocean Front Suites,"173 Jalan Loyang Besar, singapore 509424","S$ 600,000
  -
  S$ 1,450,000",<20%
Octaville,"81 Duku Road, singapore 429245",null,null
Oei Tiong Ham Park Residences,"29 Oei Tiong Ham Park, singapore 267034","S$ 7,822,300
  -
  S$ 12,567,500",null
Okio,"262 BALESTIER ROAD, singapore 329714","S$ 748,000
  -
  S$ 1,080,000",<20%
Ola Residences,"837 Mountbatten Road, singapore 437830",null,20%-39%
OLA Residences @ Mountbatten,"837 Mountbatten Road, singapore 437830","S$ 1,280,000
  -
  S$ 2,650,000",null
Oleanas Residences,"42 Kim Yam Road, singapore 239347","S$ 3,288,000
  -
  S$ 3,288,000",null
Olloi,"50 Lorong 101 Changi Road, singapore 426657","S$ 2,338,000
  -
  S$ 2,370,000",null
Onan Suites,"215 Onan Road, singapore 424597","S$ 758,000
  -
  S$ 758,000",<20%
One Balmoral,"1 Balmoral Road, singapore 259784","S$ 1,580,000
  -
  S$ 5,570,000",<20%
One Bernam,"1 Bernam Street, singapore 078852","S$ 899,899
  -
  S$ 16,655,000",null
One Devonshire,"1 Devonshire Road, singapore 239896","S$ 2,499,999
  -
  S$ 4,580,000",<20%
One Draycott,"1 Draycott Park, singapore 259385","S$ 2,000,000
  -
  S$ 3,303,000",null
One Dusun Residences,"1 Jalan Dusun, singapore 329363","S$ 820,000
  -
  S$ 1,720,000",<20%
One Fort,"1 Fort Road, singapore 439069","S$ 1,780,000
  -
  S$ 2,500,000",20%-39%
One Holland Village Residences,"5 Holland Village Way, singapore 275752","S$ 1,250,000
  -
  S$ 12,211,349",null
One K Green Lane,"1K Green Lane, singapore 438920","S$ 1,280,000
  -
  S$ 1,280,000",null
One K Green Lane,"1K Green Lane, singapore 438920","S$ 1,280,000
  -
  S$ 1,280,000",null
One Meyer,"1 Meyer Place, singapore 437988","S$ 1,400,000
  -
  S$ 4,500,000",null
One Pearl Bank,"1 Pearl Bank, singapore 169016","S$ 950,000
  -
  S$ 17,600,000",null
One Robey,"1 Robey Crescent, singapore 546256","S$ 820,000
  -
  S$ 1,750,000",null
One Robin,"1 Robin Road, singapore 258176",null,20%-39%
One Rochester,"1 Rochester Park, singapore 139212",null,null
One St Michael's,"1 Saint Michael's Road, singapore 328006","S$ 1,700,000
  -
  S$ 1,780,000",20%-39%
One-North Eden,"8 Slim Barracks Rise, singapore 138492","S$ 898,000
  -
  S$ 4,300,000",null
Orchard View,"29 Angullia Park, singapore 239977","S$ 6,880,000
  -
  S$ 9,000,000",20%-39%
Orchid Mansion,"11 Amber Road, singapore 439857",null,null
OUE Twin Peaks,"33 Leonie Hill Road, singapore 239197","S$ 1,290,000
  -
  S$ 5,100,000",<20%
Ovada 8,"127 Koon Seng Road, singapore 427071",null,60%-79%
Oxley Mansion,"26 Oxley Road, singapore 238620",null,null
Oxley Residence,"51A Oxley Road, singapore 238675","S$ 6,096,000
  -
  S$ 30,656,000",null
Palm Galleria,"78 Lorong K Telok Kurau, singapore 425701","S$ 715,000
  -
  S$ 2,580,000",20%-39%
Palm Haven,"18 Palm Grove Avenue, singapore 547312","S$ 1,850,000
  -
  S$ 1,850,000",40%-59%
Palm Isles,"40 Flora Drive, singapore 506866","S$ 606,000
  -
  S$ 3,100,000",<20%
Palm Lodge,"4 Geylang Lor 37, singapore 387902",null,>80%
Palm Residence,"7 Jalan Rajawali, singapore 598429",null,40%-59%
Palm Vista,"47 Lorong G Telok Kurau, singapore 426224","S$ 1,130,000
  -
  S$ 1,130,000",20%-39%
Palmera Residence,"38 Telok Kurau Lorong N, singapore 425162",null,<20%
Palmwoods,"450 Upper Changi Road, singapore 487040","S$ 848,888
  -
  S$ 2,200,000",40%-59%
Paradise Palms,"505 Dunman Road, singapore 439198","S$ 1,958,000
  -
  S$ 2,200,000",40%-59%
Parc Bleu,"262 Joo Chiat Place, singapore 427944","S$ 1,280,000
  -
  S$ 1,480,000",<20%
Parc Botannia,"10 Fernvale Street, singapore 797390","S$ 680,000
  -
  S$ 2,580,000",null
Parc Centennial,"100 Kampong Java Road, singapore 228867","S$ 1,750,000
  -
  S$ 4,799,999",20%-39%
Parc Centros,"84 Punggol Central, singapore 828719","S$ 725,000
  -
  S$ 3,900,000",<20%
Parc Clematis,"8F Jalan Lempeng, singapore 126740",null,null
Parc Elegance,"15 Telok Kurau Road, singapore 423762","S$ 599,999
  -
  S$ 1,900,000",20%-39%
Parc Esta,"822 Sims Avenue, singapore 400822","S$ 800,000
  -
  S$ 2,680,000",null
Parc Imperial,"253A Pasir Panjang Road, singapore 117422","S$ 700,000
  -
  S$ 750,000",<20%
Parc Komo,"963 Upper Changi Road North, singapore 507664","S$ 750,000
  -
  S$ 2,978,000",null
Parc Olympia,"56 Flora Drive, singapore 506856","S$ 600,000
  -
  S$ 1,850,000",<20%
Parc Regency,"315 Pasir Panjang Road, singapore 118652",null,40%-59%
Parc Riviera,"101 West Coast Vale, singapore 126753","S$ 718,000
  -
  S$ 1,800,000",null
Parc Rosewood,"71 Rosewood Drive, singapore 737783","S$ 580,000
  -
  S$ 1,700,000",<20%
Parc Seabreeze,"532 Joo Chiat Road, singapore 427711","S$ 4,300,000
  -
  S$ 4,300,000",<20%
Parc Vera,"0 Hougang Street 32, singapore 534000","S$ 960,000
  -
  S$ 3,000,000",<20%
Parisian,"21 Angullia Park, singapore 239974",null,null
Park 1 Suites,"8 Lorong 40 Geylang, singapore 398054","S$ 902,000
  -
  S$ 1,480,000",null
Park Colonial,"2 Woodleigh Lane, singapore 357685","S$ 800,000
  -
  S$ 2,900,000",null
Park Court,"9 Lorong 101 Changi, singapore 426641",null,60%-79%
Park Green,"2 Rivervale Link, singapore 545040","S$ 1,180,000
  -
  S$ 1,400,000",<20%
Park Natura,"31 Bukit Batok East Avenue 6, singapore 659763","S$ 2,780,000
  -
  S$ 2,780,000",<20%
Park Nova,"18 Tomlinson Road, singapore 247858","S$ 4,878,800
  -
  S$ 26,990,000",null
Park Place Residences,"2 Paya Lebar Road, singapore 409053","S$ 980,000
  -
  S$ 2,499,000",null
Park Residences Kovan,"831 Upper Serangoon Road, singapore 534679","S$ 619,000
  -
  S$ 650,000",<20%
Parksuites,"18 Holland Grove Road, singapore 278800","S$ 1,128,180
  -
  S$ 6,910,000",null
Parkview Condo,"18 West Coast Park, singapore 127639",null,null
Parkway Apartment,"13 Amber Road, singapore 439863",null,null
Parkway Mansion,"9 Amber Road, singapore 439854",null,>80%
Parkway View,"39 Marine Parade Road, singapore 449265",null,>80%
Parkwood Residences,"208 Yio Chu Kang Road, singapore 545653","S$ 1,204,200
  -
  S$ 14,768,000",null
Parvis,"12 Holland Hill, singapore 278743","S$ 2,400,000
  -
  S$ 6,380,000",<20%
Pasadena,"2A Derbyshire Road, singapore 309470",null,40%-59%
Pasir Ris 8,"10 Pasir Ris Central, singapore 519634","S$ 799,000
  -
  S$ 2,531,000",null
Patent Place,"17 Jalan Rajawali, singapore 598434",null,null
Paterson Collection,"0 Paterson Road, singapore 238000",null,null
Paterson Linc,"20 Paterson Road, singapore 238509","S$ 3,000,000
  -
  S$ 7,000,000",20%-39%
Paterson Lodge,"20 Paterson Road, singapore 238509",null,null
Paterson Suites,"55 Paterson Road, singapore 238550","S$ 4,390,000
  -
  S$ 22,800,000",<20%
Pavilion 11,"23 Akyab Road, singapore 309978","S$ 1,700,000
  -
  S$ 6,000,000",<20%
Pavilion Square,"345 Geylang Road, singapore 389366","S$ 600,000
  -
  S$ 1,168,888",null
Peak Residence,"333 Thomson Road, singapore 307675","S$ 1,100,000
  -
  S$ 3,558,000",null
Pender Court,"110 Wishart Road, singapore 098729",null,null
Penrose,"20 Sims Drive, singapore 387395","S$ 800,000
  -
  S$ 2,449,000",null
Peppermint Grove,"45 Newton Road, singapore 307971",null,60%-79%
Perfect Ten,"323 Bukit Timah Road, singapore 259713","S$ 1,999,999
  -
  S$ 7,600,000",null
Permai Court,"524 Kampong Bahru Road, singapore 099455",null,null
Permai Residences,"524 Kampong Bahru Road, singapore 099455",null,null
Petit Jervois,"33 Jervois Road, singapore 247657","S$ 1,500,000
  -
  S$ 3,038,000",null
Phoenix Residences,"71 Phoenix Avenue, singapore 668378","S$ 700,000
  -
  S$ 1,960,414",null
Phoenix Villas,"71-85 24 Phoenix Road, singapore 668378",null,null
Piccadilly Grand,"00 Northumberland Road, singapore 218985","S$ 800,000
  -
  S$ 3,714,549",null
Pin Tjoe Court,"7 Aradmore Park, singapore 259954",null,null
Pine Springs,"7B Balmoral Road, singapore 259788",null,null
Pinehurst Condo,"132 Lorong L Telok Kurau, singapore 425569",null,null
Pinehurst Condo,"132 Lorong L Telok Kurau, singapore 425569",null,null
Pinetree Condo,"28 Balmoral park, singapore 259856","S$ 2,580,000
  -
  S$ 3,400,000",null
Pinnacle 16,"16 Shan Road, singapore 328107","S$ 960,000
  -
  S$ 2,210,000",20%-39%
Platinum Residence,"10 Geylang Lorong 31, singapore 388039",null,null
Poh Huat Gardens,"30A Poh Huat Road, singapore 546754","S$ 3,600,000
  -
  S$ 3,600,000",null
Pollen & Bleu,"15 Farrer Drive, singapore 259296","S$ 1,200,000
  -
  S$ 4,600,000",<20%
Portofino,"6 Sarkies Road, singapore 258126",null,60%-79%
Presto @ Upper Serangoon,"528 Upper Serangoon Road, singapore 534543","S$ 625,000
  -
  S$ 720,000",null
Prime Residence,"41 Lorong 22 Geylang, singapore 398697","S$ 589,000
  -
  S$ 820,000",<20%
Primedge @ Geylang,"45 Lorong 34 Geylang, singapore 398236","S$ 725,000
  -
  S$ 1,470,000",null
Primo Residences,"201 Jalan Pelikat, singapore 537652","S$ 700,000
  -
  S$ 1,450,000",<20%
Prince Charles Residences,"Prince Charles Crescent, singapore 249999",null,null
Principal Garden,"91 Prince Charles Crescent, singapore 159025","S$ 870,000
  -
  S$ 6,000,000",null
Prospero Ville,"127 Lorong K Telok Kurau, singapore 425766","S$ 1,250,000
  -
  S$ 1,500,000",40%-59%
Pullman Residences,"18 Dunearn Road, singapore 309421","S$ 1,090,000
  -
  S$ 4,990,000",null
Q Bay Residences,"1 Tampines Street 86, singapore 528583","S$ 688,888
  -
  S$ 1,300,000",<20%
Qube Suites,"24 Jalan Punai, singapore 418804","S$ 670,000
  -
  S$ 1,100,000",<20%
Queen Astrid Gardens,"12 Queen Astrid Park, singapore 266804",null,null
Queens Peak,"1 Dundee Road, singapore 149456","S$ 844,000
  -
  S$ 3,000,000",null
Questa @ Dunman,"543 Dunman Road, singapore 439219","S$ 900,000
  -
  S$ 958,888",<20%
Radix,"18 Jalan Wakaff, singapore 428228",null,20%-39%
Rainbow Garden,"61 Jalan Kelichap, singapore 538181",null,null
Rainbow Mansions,"122 - 128B, Grange Road, singapore 249604",null,null
Rangoon 88,"88 Rangoon Road, singapore 218374","S$ 685,000
  -
  S$ 999,999",<20%
Rangoon Court,"103 Rangoon Road, singapore 218386",null,40%-59%
Reflections at Keppel Bay,"1 Keppel Bay View, singapore 098402","S$ 1,500,000
  -
  S$ 68,000,000",<20%
Regent Gardens,"53 West Coast Road, singapore 127364",null,null
Regent Residences,"1091 Serangoon Road, singapore 328190","S$ 698,000
  -
  S$ 2,200,000",<20%
Regis Mansions,"15 Jalan Rajawali, singapore 598433","S$ 1,300,000
  -
  S$ 1,600,000",60%-79%
Residence Twenty-Two,"246 Telok Kurau Road, singapore 423844","S$ 2,188,000
  -
  S$ 2,286,700",null
Residences @ Emerald Hill,"119 Emerald Hill Road, singapore 229401","S$ 5,000,000
  -
  S$ 5,000,001",null
Residences @ Jansen,"29 Jansen Road, singapore 548432",null,null
Residences @ Killiney,"147 Killiney Road, singapore 239566","S$ 2,500,000
  -
  S$ 14,000,000",<20%
Residences Botanique,"30 32 Yio Chu Kang Road, singapore 545550","S$ 745,000
  -
  S$ 1,500,000",<20%
Residences@Novena,"20 Novena Rise, singapore 307507",null,null
Rezi 26,"5 Lorong 26 Geylang, singapore 398480","S$ 638,000
  -
  S$ 2,350,000",<20%
Rezi 35,"20 Lorong 35 Geylang, singapore 387949","S$ 835,000
  -
  S$ 1,650,000",null
Ricchezza,"94 Telok Kurau Lorong M, singapore 425399",null,20%-39%
Rich East Garden,"300 Upper East Coast Road, singapore 466438",null,>80%
Richmore Court,"116 Lorong K Telok Kurau, singapore 425757",null,null
Ridge Court,"19 Meyappa Chettiar Road, singapore 358459",null,40%-59%
Ridgewood Condominium,"1 Ridgewood Close, singapore 276692","S$ 3,300,000
  -
  S$ 3,300,000",null
Rio Casa,"344 Hougang Avenue 7, singapore 530344",null,>80%
Rio Gardens,"55B Jalan Taman, singapore 329001","S$ 1,250,000
  -
  S$ 1,250,000",40%-59%
Ripple Bay,"4 Pasir Ris Link, singapore 518160","S$ 618,000
  -
  S$ 2,900,000",<20%
Rising Suites,"4 Sarkies Road, singapore 258124",null,60%-79%
Riva Lodge,"36 Leonie Hill, singapore 239230",null,>80%
Rivage,"4 Margate Road, singapore 438044","S$ 2,200,000
  -
  S$ 3,550,000",20%-39%
River Isles,"0 Punggol Central, singapore 820000","S$ 898,888
  -
  S$ 2,000,000",<20%
Riverbank at Fernvale,"0 Sengkang West Way/Fernvale, singapore 793000","S$ 648,888
  -
  S$ 1,580,000",null
RiverBay,"23 Mar Thoma Road, singapore 328704","S$ 598,999
  -
  S$ 1,230,000",<20%
Rivercove Residences EC,"318 Anchorvale Ln, singapore 544312","S$ 1,330,000
  -
  S$ 1,330,000",null
Riverdale Residence,"346 River Valley Road, singapore 238373",null,null
Riverfront Residences,"344 Hougang Avenue 7, singapore 530344","S$ 600,000
  -
  S$ 2,300,000",null
Riveria Gardens,", singapore 000005",null,20%-39%
Riveria View,"20 River Valley Grove, singapore 238404",null,null
Riversails,"24 Upper Serangoon Crescent, singapore 534024","S$ 630,000
  -
  S$ 2,900,000",<20%
Rivershire,"31 Leonie Hill, singapore 239229",null,>80%
Riverside View,"30 Robertson Quay, singapore 238251",null,null
Riversound Residence,"5 Sengkang East Avenue, singapore 544740","S$ 866,000
  -
  S$ 1,860,000",<20%
Riviera 38,"38 Mar Thoma Road, singapore 328712","S$ 668,000
  -
  S$ 1,688,888",<20%
Riviere,"1 Jiak Kim Street, singapore 169423",null,null
Riz Haven,"193 Jalan Loyang Besar, singapore 506928","S$ 625,000
  -
  S$ 1,250,000",20%-39%
Robin Court,"3 Robin Drive, singapore 258263",null,null
Robin Regalia,"35 Robin Road, singapore 258210",null,60%-79%
Robin Residences,", singapore 000000","S$ 1,100,000
  -
  S$ 4,990,000",<20%
Robinson Suites,"50 Robinson Road, singapore 068882","S$ 1,090,000
  -
  S$ 3,526,000",<20%
Rocca Balestier,"221 Balestier Road, singapore 329928",null,40%-59%
Rochalie Residences,"6B - 6D Rochalie Drive, singapore 248237",null,null
Rochelle At Newton,"188 Keng Lee Road, singapore 308414","S$ 1,800,000
  -
  S$ 6,780,000",<20%
Rosalia Park,"38 Lorong Ong Lye, singapore 536407",null,60%-79%
Rosalia Park,"38 Lorong Ong Lye, singapore 536407",null,60%-79%
Rose Court,"17 Rose Lane, singapore 437377",null,null
Rosewood Suites,", singapore 257825","S$ 998,000
  -
  S$ 1,650,000",<20%
Rosyth Lodge,"5 Rosyth Road, singapore 546143",null,60%-79%
Roxy Square,"50 East Coast Road, singapore 428769","S$ 1,848,888
  -
  S$ 1,850,000",null
Royal Court Condo,"3 Jalan Rajawali, singapore 598436",null,null
Royal Hallmark,"1 Haig Lane, singapore 438803","S$ 1,600,000
  -
  S$ 3,538,888",null
Royal Palm Mansions,"330 Pasir Panjang Road, singapore 118655",null,null
Royal Residences,"1A Surrey Road, singapore 307741",null,null
Royale Mansions,"5A Pulasan Road, singapore 424373",null,>80%
Royalgreen,"2 Anamalai Avenue, singapore 279988","S$ 1,300,000
  -
  S$ 4,276,060",null
Royce Residences,"6 Lorong 8 Geylang, singapore 399077","S$ 618,000
  -
  S$ 1,040,000",<20%
Ruby Apartments,"25 - 29C Kim Keat Close, singapore 328934",null,null
RV Altitude,"344 River Valley Road, singapore 238385","S$ 1,680,888
  -
  S$ 1,680,888",null
RV Edge,"2 Shanghai Road, singapore 248209","S$ 830,000
  -
  S$ 1,240,000",<20%
RV Point,"233 River Valley Road, singapore 238291","S$ 799,000
  -
  S$ 1,200,000",<20%
RV Residences,"461 River Valley Road, singapore 248346","S$ 968,000
  -
  S$ 2,780,000",<20%
Rymden 77,"77 Lorong H Telok Kurau, singapore 426094","S$ 1,538,000
  -
  S$ 2,868,000",null
Sage,"11A Nassim Road, singapore 258379","S$ 14,155,000
  -
  S$ 16,000,000",<20%
Sandy Palm,"163 Jalan Loyang Besar, singapore 509413",null,40%-59%
Sant Ritz,"1 Pheng Geck Avenue, singapore 348196","S$ 880,000
  -
  S$ 2,498,220",<20%
Sapphire 99,"99 Sophia Road, singapore 228189",null,null
Sarhad Ville,"45 - 59C Lorong Sarhad, singapore 119161",null,>80%
Sarkies Garden,"7 Sarkies Road, singapore 258127",null,null
Sarkies Green,"10 Sarkies Road, singapore 258129",null,null
