name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Aspen Loft,"170 Joo Chiat Terrace, singapore 427317","S$ 1,550,000
  -
  S$ 1,950,000",20%-39%,1.314902236,103.9047096,99,,
Astridville,"28-28C Jalan Ampang, singapore 268614",null,>80%,1.321327213,103.7941166,99,,
Attitude @ Kim Yam,"1 Kim Yam Road, singapore 239319","S$ 790,000
  -
  S$ 1,500,000",null,1.295513959,103.8389079,99,,
Aura 83,"83 Duku Road, singapore 429247","S$ 1,230,000
  -
  S$ 2,080,000",<20%,1.310967647,103.9062667,99,,
Aura Park,"53 Holland Road, singapore 258859",null,null,1.308880915,103.8076694,99,,
Auralis,"587 East Coast Road, singapore 423423","S$ 1,350,000
  -
  S$ 1,588,888",<20%,1.310025521,103.9160286,99,,
Austral View,"6 Tanjong Rhu Road, singapore 436883",null,null,1.298437301,103.884408,99,,
Autumn Glory,"1A Rose Lane, singapore 437360",null,null,undefined,undefined,0,,
Avenue South Residence,"1 Silat Avenue, singapore 168872",null,null,1.276390119,103.8302713,99,,
Bagnall Court,"811 Upper East Coast Road, singapore 466608",null,>80%,1.320100006,103.9549223,99,,
Balcon East,"482 Upper East Coast Road, singapore 466519",null,20%-39%,1.314743268,103.9423024,99,,
Balestier 288,"288 Balestier Road, singapore 329731","S$ 1,450,000
  -
  S$ 1,450,000",40%-59%,1.322976981,103.8528114,99,,
Balestier Court,"11 Jalan Raja Udang, singapore 329191",null,null,undefined,undefined,0,,
Balmoral Condo,"16 Balmoral Road, singapore 259802",null,null,1.314906587,103.8336568,99,,
Balmoral Gardens,"11B Balmoral Road, singapore 259797",null,>80%,undefined,undefined,0,,
Balmoral Gate,"33 Balmoral Road, singapore 259811",null,60%-79%,1.317114986,103.834351,99,,
Balmoral Green,"13 Balmoral Road, singapore 259799",null,null,1.316202621,103.8313196,99,,
Balmoral Luck,"6 Balmoral Road, singapore 259787",null,null,1.314229285,103.8318098,99,,
Balmoral Park,"9 Balmoral Park, singapore 259844",null,null,1.316163967,103.8277634,99,,
Balmoral Place,"20 Balmoral Crescent, singapore 259917",null,40%-59%,1.316604203,103.8349297,99,,
Balmoral Plaza,"271 Bukit Timah Road, singapore 259708","S$ 7,000,000
  -
  S$ 7,650,000",>80%,1.31643963,103.8354876,99,,
Balmoral Residences,", singapore 259885","S$ 4,200,000
  -
  S$ 5,560,000",40%-59%,1.315504046,103.8336726,99,,
Balmoral Tower,"27 Balmoral Road, singapore 259808",null,>80%,1.316657066,103.8336405,99,,
Balmoral View,"15 Balmoral Crescent, singapore 259909",null,null,undefined,undefined,0,,
Balmy Court,"6 Lorong 27A Geylang, singapore 388105","S$ 1,120,000
  -
  S$ 1,120,000",60%-79%,1.314158351,103.8849496,99,,
Banyan Condo,"1 Chwee Chian Road, singapore 119744",null,null,1.277952793,103.788283,99,,
Bartley Residences,"6 Lorong How Sun, singapore 536500","S$ 738,000
  -
  S$ 2,800,000",<20%,1.344346087,103.88067,99,,
Bartley Ridge,"30 Mount Vernon Road, singapore 368055","S$ 730,000
  -
  S$ 2,398,000",<20%,1.340689431,103.8805587,99,,
Bartley Vue,"6 Jalan Bunga Rampai, singapore 538310","S$ 975,000
  -
  S$ 2,600,000",null,1.340361859,103.8838464,99,,
Bassein Court,"5 Bassein Road, singapore 309836","S$ 2,728,050
  -
  S$ 2,728,050",>80%,1.322765609,103.8482485,99,,
Bayou Residence,", singapore 469967","S$ 1,650,000
  -
  S$ 1,650,000",20%-39%,1.314079521,103.9401163,99,,
Bayshore Park,"50 Bayshore Road, singapore 469977","S$ 798,000
  -
  S$ 2,700,000",<20%,1.312149584,103.9374683,99,,
